TAZ,population,population_altrnd
786,2920,2920
787,3987,3987
788,1882,1882
789,546,546
790,1437,1437
791,1781,1781
792,3190,3190
793,2676,2676
794,3404,3404
795,3052,3052
796,2242,2242
797,1979,1979
798,2446,2446
799,2423,2423
800,1422,1422
801,2016,2016
802,172,172
803,2137,2137
804,1373,1373
805,2778,2778
806,723,723
807,1152,1152
808,52,52
809,30,30
810,1169,1169
811,227,227
812,1759,1759
813,1430,1430
814,1070,1070
815,2701,2701
816,3023,3023
817,3666,3666
818,3159,3159
819,1554,1554
820,2973,2973
821,1098,1098
822,1711,1711
823,2901,2901
824,1959,1959
825,2238,2238
826,1768,1768
827,2746,2746
828,584,584
829,757,757
830,2760,2760
831,934,934
832,1479,1479
833,2347,2347
834,199,199
835,2862,2862
836,1676,1676
837,433,433
838,717,717
839,40,40
840,3210,3210
841,2411,2411
842,1434,1434
843,910,910
844,2697,2697
845,1733,1733
846,1329,1329
847,1382,1382
848,2852,2852
849,1680,1680
850,3161,3161
851,1324,1324
852,2932,2932
853,4195,4195
854,824,825
855,3224,3224
856,1565,1565
857,3541,3541
858,3655,3655
859,1533,1533
860,2830,2830
861,424,424
862,2221,2221
863,297,297
864,419,419
865,104,104
866,28,28
867,198,198
868,0,0
869,16,16
870,8,8
871,1761,1761
872,2863,2863
873,1871,1871
874,3283,3283
875,0,0
876,2,2
877,2213,2213
878,2085,2085
879,1531,1531
880,986,986
881,2609,2609
882,2298,2298
883,2677,2677
884,2810,2810
885,1362,1362
886,1269,1269
887,2972,2972
888,1793,1793
889,1928,1928
890,2876,2876
891,2813,2813
892,2848,2848
893,2806,2806
894,1634,1634
895,2529,2529
896,736,736
897,396,396
898,3555,3555
899,2727,2727
900,1351,1351
901,839,839
902,1815,1815
903,3085,3085
904,2878,2879
905,3766,3766
906,1698,1698
907,2564,2564
908,2973,2973
909,1834,1834
910,1368,1368
911,2888,2888
912,1019,1019
913,2443,2443
914,2719,2719
915,1936,1936
916,1975,1975
917,1844,1844
918,1241,1241
919,1351,1351
920,674,674
921,463,463
922,1675,1675
923,836,836
924,252,252
925,1140,1140
926,557,557
927,2381,2381
928,2166,2166
929,3046,3046
930,3652,3652
931,1512,1512
932,1540,1540
933,1485,1485
934,415,415
935,2092,2092
936,3111,3111
937,2187,2187
938,3323,3323
939,544,544
940,2327,2327
941,826,826
942,114,114
943,2443,2443
944,2302,2302
945,2129,2129
946,1944,1944
947,3190,3190
948,1970,1970
949,1354,1354
950,2468,2468
951,661,661
952,2589,2589
953,4197,4197
954,8,8
955,797,797
956,0,0
957,0,0
958,6,6
959,3,3
960,2053,2053
961,1533,1533
962,344,344
963,2272,2272
964,2220,2220
965,3450,3450
966,3425,3425
967,3015,3015
968,17,17
969,1430,1430
970,1094,1094
971,798,798
972,111,111
973,0,0
974,355,355
975,110,110
976,943,943
977,395,395
978,2629,2629
979,1612,1612
980,1325,1325
981,3767,3767
982,1002,1002
983,2422,2422
984,2222,2222
985,1301,1301
986,512,512
987,1846,1846
988,1228,1228
989,1656,1656
990,3078,3078
991,1541,1541
992,1518,1518
993,2896,2896
994,1250,1250
995,1294,1294
996,1892,1892
997,2812,2812
998,1305,1305
999,966,966
1000,956,956
1001,2459,2459
1002,1077,1077
1003,1833,1833
1004,1023,1023
1005,1423,1423
1006,2453,2453
1007,2166,2166
1008,812,812
1009,1599,1599
1010,1483,1483
1011,1889,1889
1012,1847,1847
1013,1876,1876
1014,1255,1255
1015,2391,2391
1016,1383,1383
1017,2153,2153
1018,1412,1412
1019,1689,1689
1020,2588,2588
1021,2047,2047
1022,3001,3001
1023,1651,1651
1024,1646,1646
1025,1726,1726
1026,1154,1154
1027,2046,2046
1028,2901,2901
1029,616,616
1030,1246,1246
1031,1292,1292
1032,1252,1252
1033,2037,2037
1034,2325,2325
1035,286,286
1036,3012,3012
1037,2228,2228
1038,912,912
1039,587,587
1040,0,0
1041,1619,1619
1042,1587,1587
1043,2018,2018
1044,729,729
1045,2632,2632
1046,404,404
1047,1507,1507
1048,2020,2020
1049,0,0
1050,1094,1094
1051,2817,2817
1052,1817,1817
1053,2138,2138
1054,1333,1333
1055,2295,2295
1056,37,37
1057,39,39
1058,113,113
1059,1684,1684
1060,3332,3332
1061,1077,1077
1062,7,7
1063,1013,1013
1064,0,0
1065,1432,1432
1066,2548,2548
1067,2601,2601
1068,3259,3259
1069,2480,2480
1070,1285,1285
1071,3154,3154
1072,4006,4006
1073,1651,1651
