GEOID,ID,BG_LA_pct,NAME,nonmin_pop,nonmin_moe,tot_pop,tot_moe,nonmin_alloc,tot_alloc,nonmin_moe_alloc,tot_moe_alloc
250010121015,4606,9.053621661304608e-15,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",712,268,1081,430,6.446178622848881e-12,9.786965015870281e-12,2.426370605229635e-12,3.893057314360981e-12
250010121015,4619,1.1267535881948929e-5,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",712,268,1081,430,0.008022485547947638,0.012180206288386793,0.003019699616362313,0.004845040429238039
250010121021,4619,8.60188927929617e-5,"Block Group 1, Census Tract 121.02, Barnstable County, Massachusetts",606,225,650,227,0.052127449032534794,0.055912280315425104,0.01935425087841638,0.019526288664002307
250010121024,4606,2.3693391048629304e-13,"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",694,200,751,221,1.6443213387748736e-10,1.7793736677520606e-10,4.7386782097258605e-11,5.236239421747076e-11
250010125021,4701,0.9999999999999044,"Block Group 1, Census Tract 125.02, Barnstable County, Massachusetts",527,229,634,276,526.9999999999496,633.9999999999394,228.99999999997812,275.9999999999736
250010125022,4701,5.075601268846574e-13,"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",464,178,1080,419,2.3550789887448103e-10,5.4816493703543e-10,9.034570258546902e-11,2.1266769316467145e-10
250010125023,4701,1.339507399838729e-13,"Block Group 3, Census Tract 125.02, Barnstable County, Massachusetts",647,275,1094,335,8.666612876956576e-11,1.4654210954235696e-10,3.683645349556505e-11,4.487349789459742e-11
250010125024,4701,2.459576725053487e-13,"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",620,352,934,349,1.524937569533162e-10,2.297244661199957e-10,8.657710072188274e-11,8.58392277043667e-11
250010126011,4710,4.005091239449762e-4,"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",1933,400,2418,424,0.774184136585639,0.9684310616989524,0.1602036495779905,0.16981586855266992
250010126021,4710,5.282008251769232e-8,"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",926,308,1933,642,4.891139641138309e-5,1.0210121950669925e-4,1.6268585415449235e-5,3.391049297635847e-5
250010126022,4709,1.9737166695898802e-13,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",1292,469,2280,980,2.5500419371101254e-10,4.500074006664927e-10,9.256731180376538e-11,1.9342423361980827e-10
250010126022,4710,1.907989963027942e-5,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",1292,469,2280,980,0.02465123032232101,0.04350217115703708,0.008948472926601048,0.01869830163767383
250010126022,4712,2.2805689521893737e-5,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",1292,469,2280,980,0.029464950862286707,0.05199697210991772,0.010695868385768163,0.02234957573145586
250010126023,4709,0.999999999999484,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",270,175,1065,759,269.9999999998607,1064.9999999994504,174.9999999999097,758.9999999996083
250010126023,4710,4.7614376066753813e-14,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",270,175,1065,759,1.285588153802353e-11,5.070931051109281e-11,8.332515811681918e-12,3.6139311434666145e-11
250010126024,4709,5.731773101956224e-13,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",553,213,740,285,3.169670525381792e-10,4.2415120954476057e-10,1.2208676707166756e-10,1.6335553340575237e-10
250010126024,4710,0.9999999999990866,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",553,213,740,285,552.9999999994949,739.9999999993241,212.99999999980545,284.9999999997397
250010127004,4701,1.318892543275518e-13,"Block Group 4, Census Tract 127, Barnstable County, Massachusetts",1271,343,1454,389,1.6763124225031835e-10,1.9176697579226032e-10,4.523801423435027e-11,5.130491993341766e-11
250010138003,4658,0.9999999999996526,"Block Group 3, Census Tract 138, Barnstable County, Massachusetts",743,275,1341,711,742.9999999997419,1340.999999999534,274.99999999990445,710.999999999753
