GEOID,ID,TRACT_LA_pct,NAME,nonmin_pop,nonmin_moe,tot_pop,tot_moe,nonmin_alloc,tot_alloc,nonmin_moe_alloc,tot_moe_alloc
25005652000,4312,0.3793397862164036,"Census Tract 6520, Bristol County, Massachusetts",1392,303,2671,375,528.0409824132338,1013.216568984014,114.93995522357028,142.25241983115134
25005652000,4316,3.228343154200005e-14,"Census Tract 6520, Bristol County, Massachusetts",1392,303,2671,375,4.4938536706464075e-11,8.622904564868214e-11,9.781879757226016e-12,1.210628682825002e-11
25005652100,4312,1.7595989657086585e-13,"Census Tract 6521, Bristol County, Massachusetts",2187,382,3177,457,3.848242938004836e-10,5.590245914056408e-10,6.721668049007075e-11,8.041367273288569e-11
25005652100,4316,0.40343283863543256,"Census Tract 6521, Bristol County, Massachusetts",2187,382,3177,457,882.307618095691,1281.7061283447692,154.11134435873524,184.36880725639267
25005652100,4323,1.166937357911974e-13,"Census Tract 6521, Bristol County, Massachusetts",2187,382,3177,457,2.552092001753487e-10,3.707359986086341e-10,4.4577007072237405e-11,5.332903725657721e-11
25005652200,4316,8.791660478948427e-14,"Census Tract 6522, Bristol County, Massachusetts",2358,372,2935,355,2.073073540936039e-10,2.580352350571363e-10,3.2704976981688145e-11,3.1210394700266914e-11
25005652200,4323,6.988485254387628e-13,"Census Tract 6522, Bristol County, Massachusetts",2358,372,2935,355,1.6478848229846028e-9,2.051120422162769e-9,2.599716514632198e-10,2.480912265307608e-10
25005652300,4323,0.6218038301098673,"Census Tract 6523, Bristol County, Massachusetts",1591,294,2685,744,989.2898937047988,1669.5432838449938,182.81032605230098,462.62204960174125
25005652600,4310,1.4034214719547845e-13,"Census Tract 6526, Bristol County, Massachusetts",1208,274,3018,587,1.6953331381213797e-10,4.23552600235954e-10,3.84537483315611e-11,8.238084040374585e-11
25005652600,4333,3.12768953595571e-13,"Census Tract 6526, Bristol County, Massachusetts",1208,274,3018,587,3.778248959434498e-10,9.439367019514334e-10,8.569869328518645e-11,1.8359537576060016e-10
25005652700,4333,0.2668223365615384,"Census Tract 6527, Bristol County, Massachusetts",2306,443,4102,569,615.2923081109076,1094.5052245754307,118.20229509676152,151.82190950351537
25005653203,4323,7.305250361448e-15,"Census Tract 6532.03, Bristol County, Massachusetts",4510,625,5136,628,3.294667913013048e-11,3.7519765856396926e-11,4.565781475905e-12,4.5876972269893435e-12
25005654200,4261,1.0165359239831906e-4,"Census Tract 6542, Bristol County, Massachusetts",3124,347,3259,365,0.31756582265234873,0.3312890576261218,0.035273796562216714,0.03710356122538646
25005655300,4310,0,"Census Tract 6553, Bristol County, Massachusetts",2945,377,3229,376,0,0,0,0
25005655400,4310,0,"Census Tract 6554, Bristol County, Massachusetts",3470,361,3640,353,0,0,0,0
25005985600,1736,4.2429316787392655e-9,"Census Tract 9856, Bristol County, Massachusetts",4606,497,5471,542,1.9542943312273058e-5,2.321307921438252e-5,2.108737044333415e-6,2.299668969876682e-6
25007200400,4907,0.0853419564065428,"Census Tract 2004, Dukes County, Massachusetts",4257,331,5165,21,363.3007084226527,440.7912048397935,28.248187570565666,1.7921810845373987
25009204600,1211,3.4849534049329048e-6,"Census Tract 2046, Essex County, Massachusetts",4187,686,4830,677,0.014591499906454072,0.01683232494582593,0.002390678035783973,0.0023593134551395767
25009204702,1211,1.0200288203780732e-5,"Census Tract 2047.02, Essex County, Massachusetts",4672,676,6764,684,0.047655746488063574,0.06899474941037287,0.0068953948257557745,0.0069769971313860205
25009206600,762,0.15079856287470525,"Census Tract 2066, Essex County, Massachusetts",2188,321,5079,677,329.9472555698551,765.905900840628,48.40633868278039,102.09062706617546
25009206700,762,0.08507663932708168,"Census Tract 2067, Essex County, Massachusetts",1954,359,3886,482,166.23975324511758,330.6078204250394,30.54251351842232,41.00694015565337
25009210700,1211,2.1965504707029076e-5,"Census Tract 2107, Essex County, Massachusetts",2270,424,4865,726,0.049861695684956006,0.10686218039969646,0.009313373995780328,0.01594695641730311
25009210800,1211,0.43332784028914895,"Census Tract 2108, Essex County, Massachusetts",2522,542,4442,647,1092.8528132092335,1924.8422665643996,234.86368943671872,280.36311266707935
25009210900,1211,5.877957376206034e-6,"Census Tract 2109, Essex County, Massachusetts",3700,482,4335,582,0.021748442291962326,0.025480945225853157,0.0028331754553313085,0.0034209711929519115
25009251400,1338,0,"Census Tract 2514, Essex County, Massachusetts",640,212,5914,906,0,0,0,0
25009251500,1337,2.1069826046066836e-5,"Census Tract 2515, Essex County, Massachusetts",743,311,6952,897,0.015654880752227658,0.14647743067225663,0.006552715900326786,0.018899633963321952
25009251500,1338,1.3963377738761157e-4,"Census Tract 2515, Essex County, Massachusetts",743,311,6952,897,0.1037478965989954,0.9707340203986756,0.0434261047675472,0.12525149831668758
25009251800,1337,4.749896520768013e-7,"Census Tract 2518, Essex County, Massachusetts",2958,647,8608,1133,0.0014050193908431783,0.004088710925077106,3.073183048936905e-4,5.381632758030159e-4
25009252101,1338,0,"Census Tract 2521.01, Essex County, Massachusetts",1872,471,3462,497,0,0,0,0
