Intersection_ID,ID,GEOID,BG_TOTAL_AREA,INTERSECTION_TOTAL_AREA,INTERSECTION_LAND_AREA,BG_LAND_AREA,num_roof,rooftop_pct
771,1896,250235031022,6326942.00355741,5811944.08371227,5606967.29685943,6121746.58801252,744,0.8996372430471584
368,1867,250235012041,11033829.025308,2983624.15433687,2923086.18379749,10722845.9224481,519,0.3649789029535865
36,1849,250235001041,1000278.69870328,638825.999433115,561424.302351499,851659.764979231,610,0.9090909090909091
4237,2651,250235221013,5417508.76503743,3913094.17782344,3643292.36827994,4751904.35040787,884,0.9141675284384695
288,1862,250235012012,4723766.43582829,4116943.53890485,4049736.0574697,4617316.68971557,995,0.9045454545454545
4337,2647,250235221023,7973968.46641485,2317855.83955738,2282042.51583071,7816530.39332224,111,0.09728308501314636
48,1851,250235001042,648807.400899832,98962.9320143035,63793.4112322689,510182.781923351,34,0.07407407407407407
51,1851,250235001043,298651.518232017,297038.44180395,263540.890965129,264654.030042328,439,1
3834,1880,250235201003,3430660.76751587,1288712.33653772,1288712.33653766,3430660.76751567,301,0.386392811296534
6933,4384,250235401012,8972174.96974305,8945289.25018224,8671098.00647765,8697983.72603793,975,0.9979529170931423
4342,2646,250235221023,7973968.46641485,4761278.66618175,4658800.90174965,7816530.39332224,809,0.7090271691498685
56,1850,250235001044,564441.380132696,563706.443837932,501493.526572323,501498.959835622,663,1
6986,4385,250235401013,4372760.84380987,4334857.84349424,4306111.74833906,4323447.21214188,678,1
4561,2540,250235232042,5919455.77754215,2082700.4024282,2082700.40242814,5919455.77754118,267,0.326007326007326
2,1848,250235001012,419685.645439068,418496.096759725,363171.411835605,363476.034724892,433,1
1,1848,250235001011,2772992.19864899,2398930.59923297,2092496.25963066,2092496.25963066,875,1
7686,4398,250235422002,20177099.8683882,20167307.5381013,19988094.769079,19997438.2248548,1723,0.9982618771726536
7925,4405,250235423013,432587.225601328,432586.613862678,432586.613862827,432587.225601367,266,1
4486,2542,250235232032,7801127.92530584,5362041.89084005,4780481.27918297,7219394.89442522,875,0.7729681978798587
431,1885,250235021012,586828.844400799,147503.541183971,147503.541183988,586828.844400807,140,0.3233256351039261
7445,4394,250235421013,17829549.3490154,17829546.392281,17318060.3789152,17318063.3356494,1246,1
1045,1904,250235041012,3786541.89026801,529664.160486758,529664.160486785,3568584.03206694,228,0.3352941176470588
534,1883,250235022003,4465308.14552537,4446156.78741869,4446156.78741858,4465236.74985578,1101,0.9990925589836661
9438,2567,250239802001,7179410.36500559,5292430.11271628,4988367.76451099,6859883.23243799,101,0.9711538461538461
7819,4399,250235422003,5116589.6458953,5116589.64589316,5084927.75609589,5084927.75609808,984,1
114,1861,250235011021,1000901.73835828,961678.91979427,961678.919794216,1000901.73835841,470,0.9362549800796812
726,1893,250235031013,4260268.45463882,4204238.05364879,4204238.05364893,4260268.45463934,735,1
1058,1904,250235041013,5485787.87631844,796711.363583738,790771.744075579,5376787.00301532,160,0.2069857697283312
70,1861,250235011012,4109231.7182675,73193.7866132028,73193.7866132152,3954668.84447645,59,0.07887700534759358
7981,4404,250235423023,1768656.28062262,1764342.08031506,1737188.27497745,1741500.93997027,578,1
12,1849,250235001013,544586.502854642,544146.043347749,490533.593447667,490691.701158992,736,1
168,1853,250235011023,1542942.25303744,1542785.22530161,1537747.40839575,1537904.43613154,921,1
7525,4396,250235421021,34869846.8085623,34810823.7291651,29791541.6627262,29797306.9888574,1410,1
7908,4400,250235423011,1371802.67525319,1371802.67525228,1337941.97875156,1337941.97875192,567,1
355,1864,250235012041,11033829.025308,3244231.68199534,3013494.07590602,10722845.9224481,441,0.310126582278481
4658,2561,250235251011,7826911.70189687,4136150.02304774,4125248.37295542,7813195.52827938,697,0.7207859358841778
4965,2572,250235251042,2730484.18974951,1009139.41299441,961032.340906713,2653348.32206617,243,0.4764705882352941
4350,2543,250235231001,6010871.78002893,1710218.14910268,1674074.35989766,5954615.60428829,326,0.31285988483685223
8648,4416,250235451003,14666462.6938977,14661090.7542759,13334118.2575232,13339098.2418098,1500,1
4825,2563,250235251013,1760929.26783999,594777.309900562,594777.309900559,1753613.2242691,261,0.361997226074896
8682,4417,250235451004,3987505.37372565,3986771.30710423,2913396.92186004,2913397.58699698,1133,1
9115,4430,250235454005,3140494.03624674,2624023.44015673,2160575.65321476,2164157.77784284,1327,0.9992469879518072
9411,2568,250235614002,2509703.28682512,1389281.14811425,1347531.44744091,2411431.6275232,242,0.5148936170212766
4426,2539,250235232011,2582328.5804069,206463.21763588,203969.147353081,2555892.13030428,71,0.12241379310344827
9417,2568,250235614003,1318785.46191567,1250117.07535612,1250029.86384578,1314617.7544672,446,0.971677559912854
4821,2568,250235251013,1760929.26783999,94206.6190163654,92935.8662552728,1753613.2242691,12,0.016643550624133148
5139,2563,250235251044,1076026.64659585,170557.121908671,170557.12190863,1032457.06492967,70,0.1643192488262911
3970,1877,250235202022,6080597.16393762,2933551.72631724,2881711.75784798,5685752.85520964,598,0.8180574555403557
4725,2558,250235251012,14511928.9388706,6488600.17945969,6457235.58429043,12853327.2318279,882,0.7649609713790113
386,1862,250235012042,2910630.9591483,1959175.93057473,1959175.93057471,2910534.30449784,208,0.6582278481012658
4949,2566,250235251042,2730484.18974951,1720925.26731181,1691896.47171614,2653348.32206617,267,0.5235294117647059
4428,2537,250235232012,7167284.75569998,4576635.54576244,4576635.54576249,7160552.06482848,545,0.6503579952267303
7092,4388,250235401032,21387923.6820416,21307644.3313056,21231439.0716891,21297978.902583,925,1
4390,2542,250235231002,3226482.31748177,2053228.15172078,2039885.69579438,3199208.97477308,273,0.5896328293736501
4559,2538,250235232042,5919455.77754215,2816647.73447748,2816647.73447721,5919455.77754118,407,0.49694749694749696
