GEOID,ID,tot_roofs,BG_RT_pct
250092043001,1165,58,0.22568093385214008
250092043001,1167,173,0.6731517509727627
250092043002,1161,122,1
250092043003,1161,113,1
250092044001,1167,282,1
250092044002,1166,203,1
250092044003,1166,179,0.7047244094488189
250092044003,1167,75,0.2952755905511811
250092044004,1167,546,0.9963503649635036
250092044004,NA,2,0.0036496350364963502
250092045001,1166,453,1
250092045002,1165,55,0.3107344632768362
250092045002,1166,122,0.6892655367231638
250092045003,1164,199,0.8504273504273504
250092045003,1165,35,0.14957264957264957
250092046001,1162,534,1
250092046002,1163,487,1
250092046003,1162,317,1
250092046004,1163,345,0.9971098265895953
250092046004,1164,1,0.002890173410404624
250092046005,1163,270,1
250092047011,1152,352,1
250092047012,1151,244,1
250092047013,1153,275,0.8088235294117647
250092047013,1155,65,0.19117647058823528
250092047014,1151,153,0.34851936218678814
250092047014,1153,286,0.6514806378132119
250092047021,1156,122,0.5327510917030568
250092047021,1164,107,0.4672489082969432
250092047022,1156,307,1
250092047023,1154,4,0.011019283746556474
250092047023,1155,16,0.0440771349862259
250092047023,1156,343,0.9449035812672176
250092047024,1154,856,0.8925964546402503
250092047024,1155,103,0.10740354535974973
250092051001,781,301,0.5647279549718575
250092051001,792,232,0.4352720450281426
250092051002,778,256,0.6352357320099256
250092051002,781,147,0.36476426799007444
250092051003,775,201,0.5193798449612403
250092051003,792,186,0.4806201550387597
250092051004,792,671,1
250092051005,792,290,1
250092052001,793,267,1
250092052002,791,347,1
250092052003,775,358,0.7937915742793792
250092052003,791,93,0.20620842572062084
250092052004,775,225,0.47974413646055436
250092052004,791,244,0.5202558635394456
250092052005,789,55,0.13126491646778043
250092052005,790,300,0.7159904534606205
250092052005,791,64,0.15274463007159905
250092053001,793,471,0.6339165545087483
250092053001,795,272,0.36608344549125166
250092053002,790,13,0.03132530120481928
250092053002,793,402,0.9686746987951808
250092053003,790,52,0.11231101511879049
250092053003,795,411,0.8876889848812095
250092053004,785,190,0.4025423728813559
250092053004,790,281,0.5953389830508474
250092053004,794,1,0.00211864406779661
250092054001,785,6,0.00796812749003984
250092054001,790,13,0.017264276228419653
250092054001,794,447,0.5936254980079682
250092054001,795,286,0.3798140770252324
250092054001,1206,1,0.0013280212483399733
250092054002,794,247,0.31912144702842377
250092054002,795,527,0.6808785529715762
250092054003,794,654,1
250092055001,785,101,0.17060810810810811
250092055001,787,481,0.8125
250092055001,790,10,0.016891891891891893
250092055002,774,323,0.7546728971962616
250092055002,789,89,0.20794392523364486
250092055002,791,16,0.037383177570093455
250092056001,783,47,0.2175925925925926
250092056001,784,164,0.7592592592592593
250092056001,785,5,0.023148148148148147
250092056002,766,1,0.006802721088435374
250092056002,783,89,0.6054421768707483
250092056002,784,57,0.3877551020408163
250092056003,784,397,1
250092056004,785,261,0.9923954372623575
250092056004,794,2,0.0076045627376425855
250092057001,785,344,1
250092057002,783,184,0.456575682382134
250092057002,786,219,0.543424317617866
250092057003,766,1,0.003067484662576687
250092057003,782,172,0.5276073619631901
250092057003,783,82,0.25153374233128833
250092057003,786,71,0.21779141104294478
250092057004,782,143,0.45686900958466453
250092057004,783,170,0.5431309904153354
