block_id,taz_id,area_fct
250010129001006,4640,1
250010129001007,4640,1
250010129001008,4640,1
250010129001009,4640,1
250010129001010,4640,1
250010129001011,4640,1
250010129001012,4640,1
250010129001013,4640,1
250010129001014,4640,1
250010129001015,4640,1
250010129001016,4640,1
250010129001017,4640,1
250010129001018,4640,1
250010129001019,4640,1
250010129001020,4640,1
250010129001021,4640,1
250010129001022,4640,1
250010129001023,4640,1
250010129002000,4694,1
250010129002001,4694,1
250010129002002,4694,1
250010129002003,4694,1
250010129002004,4694,1
250010129002005,4694,1
250010129002006,4694,1
250010129002007,4694,1
250010129002008,4694,1
250010129002009,4694,1
250010129002010,4694,1
250010129002011,4694,1
250010129002012,4694,1
250010129002013,4694,1
250010129002014,4694,1
250010129002015,4694,1
250010129002016,4694,1
250010129002017,4694,1
250010129002018,4694,1
250010129002019,4694,1
250010129002020,4694,1
250010129002021,4694,1
250010129002022,4694,1
250010129002023,4694,1
250010129002024,4694,1
250010129002025,4694,1
250010129002026,4694,1
250010129002027,4694,1
250010129002028,4694,1
250010129002029,4694,1
250010129002030,4694,1
250010129002031,4694,1
250010129002032,4694,1
250010129002033,4694,1
250010129002034,4694,1
250010129002035,4694,1
250010129002036,4694,1
250010129002037,4694,1
250010129003000,4705,1
250010129003001,4705,1
250010129003002,4705,1
250010129003003,4705,1
250010129003004,4705,1
250010129003005,4705,1
250010129003006,4705,1
250010129003007,4705,1
250010129003008,4705,1
250010129003009,4705,1
250010129003010,4705,1
250010129003011,4705,1
250010129003012,4705,1
250010129003013,4705,1
250010129003014,4705,1
250010129003015,4705,1
250010129003016,4705,1
250010129003017,4705,1
250010129003018,4705,1
250010129003019,4705,1
250010129003020,4705,1
250010129003021,4705,1
250010129003022,4705,1
250010129003023,4705,1
250010129003024,4705,1
250010129003025,4705,1
250010129003026,4705,1
250010129003027,4705,1
250010129003028,4705,1
250010129003029,4705,1
250010129003030,4705,1
250010129003031,4705,1
250010129003032,4705,1
250010129003033,4705,1
250010129003034,4705,1
250010129003035,4705,1
250010129003036,4705,1
250010129003037,4705,1
250010129003038,4705,1
250010129003039,4705,1
250010130021000,4642,1
250010130021001,4642,1
250010130021002,4642,1
250010130021003,4642,1
250010130021004,4642,1
250010130021005,4642,1
250010130021006,4642,1
250010130021007,4642,1
250010130021008,4642,1
250010130021009,4642,1
250010130021010,4642,1
250010130021011,4642,1
250010130021012,4642,1
250010130021013,4642,1
250010130021014,4642,1
250010130021015,4642,1
250010130021016,4642,1
250010130021017,4642,1
250010130021018,4642,1
250010130021019,4642,1
250010130021020,4642,1
250010130021021,4642,1
250010130021022,4642,1
250010130021023,4642,1
250010130021024,4642,1
250010130021025,4642,1
250010130021026,4642,1
250010130021027,4642,1
250010130021028,4642,1
250010130021029,4642,1
250010130021030,4642,1
250010130021031,4642,1
250010130021032,4642,1
250010130021033,4642,1
250010130021035,4642,1
250010130021036,4642,1
250010130021037,4642,1
250010130021038,4642,1
250010130021039,4642,1
250010130021040,4642,1
250010130021041,4642,1
250010130021042,4642,1
250010130021043,4642,1
250010130021044,4642,1
250010130021045,4642,1
250010130021046,4642,1
250010130021047,4642,1
250010130021048,4642,1
250010130021049,4642,1
250010130021050,4642,1
250010130021051,4642,1
250010130021052,4642,1
250010130021053,4642,1
250010130021054,4642,1
250010130021055,4642,1
250010130021056,4642,1
250010130021057,4642,1
250010130022000,4693,1
250010130022001,4693,1
250010130022002,4693,1
250010130022003,4693,1
250010130022004,4693,1
250010130022005,4693,1
250010130022006,4693,1
250010130022007,4693,1
250010130022008,4693,1
250010130022009,4693,1
250010130022010,4693,1
250010130022011,4693,1
250010130022012,4693,1
250010130022013,4693,1
250010130022014,4693,1
250010130022015,4693,1
250010130022016,4693,1
250010130022017,4693,1
250010130022018,4693,1
250010130022019,4693,1
250010130022020,4693,1
250010130022021,4693,1
250010130022022,4693,1
250010130022023,4693,1
250010130022024,4693,1
250010130022025,4693,1
250010130022026,4693,1
250010130022027,4693,1
250010130022028,4693,1
250010130022029,4693,1
250010130022030,4693,1
250010130022031,4693,1
250010130022032,4693,1
250010130022033,4693,1
250010130022034,4693,1
250010130022035,4693,1
250010130022036,4693,1
250010130022037,4693,1
250010130022038,4693,1
250010130022039,4693,1
250010130022040,4693,1
250010130022041,4693,1
250010130022042,4693,1
250010130022043,4693,1
250010130022044,4693,1
250010130023000,4692,1
250010130023001,4692,1
250010130023002,4692,1
250010130023003,4692,1
250010130023004,4692,1
250010130023005,4692,1
250010130023006,4692,1
250010130023007,4692,1
250010130023008,4692,1
250010130023009,4692,1
250010130023010,4692,1
250010130023011,4692,1
250010130023012,4692,1
250010130023013,4692,1
250010130023014,4692,1
250010130023015,4692,1
250010130023016,4692,1
250010130023017,4692,1
250010130023018,4692,1
250010130023019,4692,1
250010130023020,4692,1
250010130023021,4692,1
250010130023022,4692,1
250010130023023,4692,1
250010130023024,4692,1
250010130023025,4692,1
250010130023026,4692,1
250010130023027,4692,1
250010130023028,4692,1
250010130023029,4692,1
250010130023030,4692,1
250010130023031,4692,1
250010130023032,4692,1
250010130023033,4692,1
250010130023034,4692,1
250010130023035,4692,1
250010130023036,4692,1
250010130023037,4692,1
250010130023038,4692,1
250010130023039,4692,1
250010130023040,4692,1
250010130023041,4692,1
250010130023042,4692,1
250010130023043,4692,1
250010130023044,4692,1
250010130023045,4692,1
250010130023046,4692,1
250010130023047,4692,1
250010130023048,4692,1
250010130023049,4692,1
250010130023050,4692,1
250010130023051,4692,1
250010130024000,4641,1
250010130024001,4641,1
250010130024002,4641,1
250010130024003,4641,1
250010130024004,4641,1
250010130024005,4641,1
250010130024006,4641,1
250010130024007,4641,1
250010130024008,4641,1
250010130024009,4641,1
250010130024010,4641,1
250010130024011,4641,1
250010130024012,4641,1
250010130024013,4641,1
250010130024014,4641,1
250010130024015,4641,1
250010130024016,4641,1
