ID,n,TAZ_pop_dec
145,3,298.8746497704554
146,3,544.0578971352124
147,4,1763.9224326937108
148,4,305.06400134668064
149,2,19.94213612060228
150,1,81.10088218700109
151,6,1877.7577189825815
152,5,2759.2469031453547
153,3,2070.0473841368903
154,5,1383.1482866473905
155,5,2046.7474406522524
156,6,3243.4267035350636
157,5,731.4158443917173
158,4,577.1791455614318
159,2,1.3852936783657557
160,4,2406.77709820567
161,5,2730.9226562171157
162,4,2757.3299312295017
163,3,2516.1631395386667
164,2,2630.3829349253638
165,5,3286.7551927407203
166,4,1567.9773865814877
167,8,2755.877104396943
168,3,1756.1934072636056
169,3,1510.3840455197799
170,4,1673.3020389074902
171,4,1321.155487475427
172,3,1585.3672694626682
173,5,2573.810112384219
174,4,1035.362522139491
175,4,5018.75107194505
176,3,1804.080361762651
177,5,3270.037223767869
178,4,2258.5129733031577
179,3,1159.0198486904962
180,5,4394.84628895045
181,5,1107.599425636359
182,6,1010.158962711346
183,3,563.3545055038694
184,2,6.592664425870184
185,3,50.17563747655335
186,4,2246.111703560917
187,4,2809.7586458552714
188,2,1522.7870792221859
189,2,1785.3894465494504
190,3,63.34324970172553
191,7,2533.0540655070135
192,5,1038.9627767323273
193,3,978.3001755875961
194,2,746.1761531568108
195,3,1730.8582451333675
196,3,1780.3799779106548
197,5,3108.522365934177
198,5,1924.7289110212764
199,3,780.2383235538503
200,3,2310.366226933243
201,3,1734.7495760799552
202,2,730.5085854240459
203,4,585.25969205795775
204,2,470.8162918131334
205,5,620.9003048313493
206,3,543.4073441112292
207,4,2915.187925726029
208,6,2543.985992614452
209,4,2854.055658060715
210,2,3957.3724400548595
211,6,2507.6694668762743
212,3,2119.6491498588393
213,4,2282.6904808148806
214,5,776.2785225191518
215,4,1345.273825607425
216,4,2572.375562287519
217,4,1251.8912064138096
218,5,3198.95059954539
219,4,879.9068452155949
220,5,3705.782481295586
221,3,1379.002593726478
222,7,1029.6019414541581
223,5,1284.5847696161513
224,4,1362.4676632973744
225,4,2442.919458004804
226,4,1143.4659687008318
227,5,1877.2123039646638
228,3,780.7757818341538
229,5,1159.4931082081487
230,5,1695.5420670236854
231,3,1993.8673925722333
232,6,3164.570607403686
233,4,2063.042117997707
234,3,1161.4637776567354
235,4,2614.211925046715
236,2,1484.4078759571785
237,4,785.6565210784388
238,6,564.3838589551914
239,6,508.33065745511396
240,1,828.7932900860604
241,3,589.7714732752112
242,4,1825.1330255539967
243,3,2128.077987783032
244,5,433.64477510990275
245,4,1065.2157508113032
246,8,1245.3988918825178
